    INFO: 2026-07-28 11:04:19,722:               log.py:   20: Logging to D:\EADL-2025-IMIE\Usine Logiciel\xtreme-programming\mdpdf.log
   DEBUG: 2026-07-28 11:04:19,722:               cli.py:  103: evidence/urbanhub-audit-report.md
    INFO: 2026-07-28 11:04:19,733:         converter.py:   14: evidence/urbanhub-audit-report.md
   DEBUG: 2026-07-28 11:04:19,751:      pdf_renderer.py:  470: printSegment: TP2 - Rapport d
   DEBUG: 2026-07-28 11:04:19,761:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,765:      pdf_renderer.py:  470: printSegment: audit initial UrbanHub
   DEBUG: 2026-07-28 11:04:19,766:      pdf_renderer.py:  470: printSegment: 1. Contexte et perimetre
   DEBUG: 2026-07-28 11:04:19,769:      pdf_renderer.py:  470: printSegment: Cet audit initial couvre le depot 
   DEBUG: 2026-07-28 11:04:19,773:      pdf_renderer.py:  470: printSegment: xtreme-programming
   DEBUG: 2026-07-28 11:04:19,776:      pdf_renderer.py:  470: printSegment:  sur la branche 
   DEBUG: 2026-07-28 11:04:19,778:      pdf_renderer.py:  470: printSegment: master
   DEBUG: 2026-07-28 11:04:19,779:      pdf_renderer.py:  470: printSegment: , avec un focus sur les deux
   DEBUG: 2026-07-28 11:04:19,780:      pdf_renderer.py:  470: printSegment: services Python exposes:
   DEBUG: 2026-07-28 11:04:19,780:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,782:      pdf_renderer.py:  470: printSegment: iot-service
   DEBUG: 2026-07-28 11:04:19,783:      pdf_renderer.py:  470: printSegment:  (FastAPI)
   DEBUG: 2026-07-28 11:04:19,784:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,785:      pdf_renderer.py:  470: printSegment: alert-service
   DEBUG: 2026-07-28 11:04:19,785:      pdf_renderer.py:  470: printSegment:  (FastAPI)
   DEBUG: 2026-07-28 11:04:19,786:      pdf_renderer.py:  470: printSegment: Objectifs:
   DEBUG: 2026-07-28 11:04:19,787:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,788:      pdf_renderer.py:  470: printSegment: identifier rapidement les vulnerabilites dans le code applicatif;
   DEBUG: 2026-07-28 11:04:19,789:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,790:      pdf_renderer.py:  470: printSegment: identifier les vulnerabilites dans les dependances;
   DEBUG: 2026-07-28 11:04:19,791:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,792:      pdf_renderer.py:  470: printSegment: verifier l
   DEBUG: 2026-07-28 11:04:19,792:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,793:      pdf_renderer.py:  470: printSegment: absence d
   DEBUG: 2026-07-28 11:04:19,794:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,795:      pdf_renderer.py:  470: printSegment: exposition evidente de secrets dans le depot Git;
   DEBUG: 2026-07-28 11:04:19,797:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,799:      pdf_renderer.py:  470: printSegment: produire une priorisation exploitable pour un RSSI.
   DEBUG: 2026-07-28 11:04:19,800:      pdf_renderer.py:  470: printSegment: Perimetre scanne:
   DEBUG: 2026-07-28 11:04:19,801:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,801:      pdf_renderer.py:  470: printSegment: code source Python sous 
   DEBUG: 2026-07-28 11:04:19,803:      pdf_renderer.py:  470: printSegment: iot-service/src
   DEBUG: 2026-07-28 11:04:19,804:      pdf_renderer.py:  470: printSegment:  et 
   DEBUG: 2026-07-28 11:04:19,806:      pdf_renderer.py:  470: printSegment: alert-service/src
   DEBUG: 2026-07-28 11:04:19,807:      pdf_renderer.py:  470: printSegment: ;
   DEBUG: 2026-07-28 11:04:19,808:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,811:      pdf_renderer.py:  470: printSegment: dependances resolues via 
   DEBUG: 2026-07-28 11:04:19,812:      pdf_renderer.py:  470: printSegment: uv.lock
   DEBUG: 2026-07-28 11:04:19,813:      pdf_renderer.py:  470: printSegment: ;
   DEBUG: 2026-07-28 11:04:19,814:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-07-28 11:04:19,815:      pdf_renderer.py:  470: printSegment: historique Git et fichiers suivis pour la recherche de secrets.
   DEBUG: 2026-07-28 11:04:19,816:      pdf_renderer.py:  470: printSegment: 2. Justification du combo d
   DEBUG: 2026-07-28 11:04:19,816:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2026-07-28 11:04:19,817:      pdf_renderer.py:  470: printSegment: outils
   DEBUG: 2026-07-28 11:04:19,818:      pdf_renderer.py:  470: printSegment: Choix retenu
   DEBUG: 2026-07-28 11:04:19,819:      pdf_renderer.py:  470: printSegment: l
